22	1:200	2:6	3:19	4:25	5:18	6:25	7:19	8:200	9:6	10:19	11:18	12:25	13:32	14:25
35	1:200	2:6	3:19	4:18	5:25	6:32	7:25	8:242	9:4	10:19	11:32	12:1	13:18	14:7
22	1:200	2:6	3:19	4:19	5:25	6:0	7:0	8:200	9:6	10:19	11:0	12:25	13:18	14:7
35	1:200	2:6	3:19	4:20	5:25	6:23	7:19	8:242	9:4	10:19	11:19	12:23	13:18	14:32
14	1:196	2:6	3:19	4:-1	5:23	6:0	7:32	8:196	9:4	10:19	11:25	12:20	13:32	14:31
1	1:51	2:5	3:19	4:18	5:32	6:23	7:18	8:51	9:5	10:19	11:0	12:32	13:-1	14:-1
0	1:166	2:3	3:19	4:19	5:18	6:18	7:18	8:166	9:0	10:19	11:3	12:0	13:18	14:7
39	1:166	2:3	3:19	4:19	5:18	6:18	7:18	8:166	9:0	10:19	11:3	12:0	13:18	14:7
0	1:166	2:3	3:19	4:32	5:23	6:19	7:7	8:166	9:3	10:19	11:19	12:23	13:18	14:15
39	1:166	2:3	3:19	4:32	5:23	6:19	7:7	8:166	9:3	10:19	11:19	12:23	13:18	14:15
1	1:100	2:4	3:18	4:23	5:21	6:32	7:25	8:100	9:4	10:18	11:20	12:21	13:25	14:13
22	1:244	2:4	3:19	4:32	5:25	6:0	7:0	8:243	9:4	10:19	11:25	12:0	13:23	14:18
22	1:91	2:5	3:19	4:18	5:25	6:25	7:19	8:90	9:5	10:19	11:19	12:25	13:18	14:3
1	1:51	2:5	3:19	4:-1	5:25	6:0	7:31	8:51	9:5	10:19	11:32	12:6	13:18	14:18
1	1:51	2:5	3:19	4:-1	5:25	6:0	7:31	8:51	9:5	10:19	11:32	12:6	13:18	14:18
1	1:129	2:6	3:19	4:18	5:25	6:23	7:10	8:129	9:6	10:19	11:32	12:32	13:23	14:19
17	1:44	2:5	3:32	4:18	5:25	6:18	7:25	8:45	9:5	10:25	11:25	12:18	13:18	14:25
1	1:129	2:6	3:19	4:25	5:32	6:32	7:18	8:129	9:6	10:19	11:25	12:0	13:0	14:32
18	1:50	2:5	3:19	4:20	5:23	6:32	7:1	8:232	9:6	10:19	11:25	12:3	13:18	14:7
1	1:148	2:2	3:19	4:18	5:20	6:18	7:23	8:148	9:2	10:19	11:18	12:25	13:18	14:18
0	1:166	2:3	3:19	4:16	5:7	6:18	7:0	8:166	9:3	10:19	11:25	12:25	13:10	14:18
39	1:166	2:3	3:19	4:16	5:7	6:18	7:0	8:166	9:3	10:19	11:25	12:25	13:10	14:18
0	1:166	2:3	3:19	4:25	5:25	6:10	7:18	8:166	9:3	10:19	11:25	12:32	13:7	14:18
39	1:166	2:3	3:19	4:25	5:25	6:10	7:18	8:166	9:3	10:19	11:25	12:32	13:7	14:18
0	1:166	2:3	3:19	4:25	5:32	6:0	7:29	8:166	9:3	10:19	11:10	12:16	13:10	14:18
39	1:166	2:3	3:19	4:25	5:32	6:0	7:29	8:166	9:3	10:19	11:10	12:16	13:10	14:18
22	1:104	2:5	3:19	4:25	5:23	6:32	7:25	8:104	9:5	10:19	11:32	12:25	13:4	14:18
1	1:263	2:2	3:19	4:0	5:25	6:18	7:18	8:263	9:6	10:18	11:32	12:25	13:32	14:18
1	1:263	2:6	3:18	4:32	5:25	6:32	7:18	8:263	9:6	10:19	11:25	12:30	13:13	14:18
1	1:100	2:4	3:18	4:18	5:21	6:18	7:18	8:100	9:4	10:18	11:18	12:21	13:18	14:18
15	1:38	2:5	3:18	4:32	5:23	6:18	7:18	8:38	9:5	10:18	11:25	12:32	13:18	14:21
15	1:72	2:5	3:19	4:-1	5:20	6:13	7:18	8:72	9:5	10:19	11:23	12:20	13:0	14:32
15	1:72	2:5	3:19	4:18	5:25	6:3	7:18	8:72	9:5	10:19	11:18	12:25	13:32	14:1
15	1:72	2:5	3:19	4:20	5:25	6:23	7:18	8:72	9:5	10:19	11:32	12:25	13:3	14:18
14	1:196	2:6	3:19	4:25	5:3	6:18	7:19	8:196	9:6	10:19	11:18	12:3	13:18	14:32
14	1:196	2:6	3:19	4:-1	5:25	6:18	7:19	8:196	9:6	10:19	11:25	12:0	13:32	14:19
0	1:166	2:3	3:19	4:25	5:25	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
39	1:166	2:3	3:19	4:25	5:25	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
0	1:166	2:3	3:19	4:18	5:25	6:18	7:25	8:166	9:3	10:19	11:25	12:23	13:13	14:18
39	1:166	2:3	3:19	4:18	5:25	6:18	7:25	8:166	9:3	10:19	11:25	12:23	13:13	14:18
1	1:33	2:3	3:19	4:32	5:23	6:18	7:18	8:33	9:3	10:19	11:25	12:23	13:18	14:18
22	1:116	2:5	3:18	4:18	5:32	6:6	7:18	8:116	9:5	10:19	11:20	12:25	13:0	14:18
22	1:116	2:5	3:19	4:20	5:25	6:0	7:18	8:116	9:5	10:18	11:32	12:1	13:10	14:16
18	1:170	2:5	3:19	4:-1	5:19	6:18	7:3	8:190	9:6	10:19	11:3	12:18	13:23	14:13
1	1:28	2:4	3:10	4:25	5:23	6:10	7:18	8:28	9:4	10:10	11:25	12:23	13:10	14:18
37	1:261	2:5	3:19	4:0	5:23	6:32	7:25	8:260	9:6	10:19	11:25	12:32	13:18	14:4
1	1:123	2:6	3:19	4:25	5:25	6:32	7:25	8:123	9:6	10:19	11:25	12:25	13:32	14:25
1	1:240	2:1	3:19	4:-1	5:-1	6:23	7:32	8:240	9:1	10:19	11:15	12:25	13:0	14:32
18	1:50	2:5	3:19	4:18	5:25	6:18	7:19	8:232	9:6	10:19	11:19	12:18	13:32	14:25
18	1:50	2:5	3:19	4:32	5:1	6:18	7:18	8:232	9:6	10:19	11:0	12:25	13:18	14:3
18	1:50	2:5	3:19	4:20	5:25	6:32	7:18	8:232	9:6	10:19	11:18	12:25	13:23	14:4
1	1:232	2:6	3:19	4:23	5:23	6:32	7:0	8:232	9:6	10:19	11:18	12:32	13:23	14:19
1	1:232	2:6	3:19	4:18	5:32	6:23	7:19	8:232	9:6	10:19	11:32	12:20	13:25	14:23
1	1:51	2:5	3:19	4:0	5:30	6:18	7:18	8:51	9:5	10:19	11:24	12:32	13:18	14:18
2	1:64	2:5	3:19	4:-1	5:-1	6:13	7:18	8:64	9:5	10:18	11:18	12:3	13:18	14:18
1	1:156	2:6	3:19	4:-1	5:-1	6:32	7:25	8:156	9:6	10:19	11:25	12:25	13:23	14:18
1	1:156	2:6	3:19	4:25	5:25	6:25	7:24	8:156	9:6	10:19	11:25	12:25	13:32	14:6
1	1:156	2:6	3:19	4:-1	5:-1	6:7	7:18	8:156	9:6	10:19	11:25	12:25	13:32	14:25
1	1:156	2:6	3:19	4:25	5:25	6:32	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:25
1	1:156	2:6	3:19	4:25	5:25	6:25	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:25
1	1:156	2:6	3:19	4:-1	5:-1	6:25	7:25	8:156	9:6	10:19	11:25	12:25	13:25	14:24
1	1:156	2:6	3:19	4:25	5:25	6:25	7:24	8:156	9:6	10:19	11:10	12:16	13:30	14:18
1	1:156	2:6	3:19	4:10	5:16	6:30	7:18	8:156	9:6	10:19	11:25	12:25	13:25	14:25
39	1:0	2:4	3:19	4:25	5:20	6:21	7:18	8:0	9:4	10:19	11:23	12:20	13:32	14:13
1	1:70	2:5	3:19	4:24	5:30	6:0	7:32	8:70	9:5	10:19	11:0	12:25	13:0	14:32
1	1:70	2:5	3:19	4:18	5:23	6:7	7:18	8:70	9:5	10:19	11:32	12:32	13:7	14:10
1	1:70	2:5	3:19	4:32	5:32	6:7	7:10	8:70	9:5	10:19	11:20	12:25	13:0	14:0
1	1:70	2:5	3:19	4:20	5:25	6:0	7:0	8:70	9:5	10:19	11:18	12:25	13:0	14:32
1	1:67	2:5	3:19	4:-1	5:23	6:7	7:18	8:67	9:5	10:19	11:18	12:25	13:0	14:32
16	1:31	2:5	3:19	4:25	5:30	6:32	7:13	8:31	9:5	10:19	11:18	12:25	13:23	14:19
15	1:247	2:6	3:19	4:18	5:18	6:7	7:18	8:247	9:6	10:19	11:15	12:25	13:0	14:0
1	1:246	2:6	3:19	4:29	5:25	6:19	7:20	8:246	9:6	10:19	11:20	12:25	13:19	14:18
14	1:196	2:5	3:19	4:15	5:25	6:18	7:0	8:196	9:5	10:19	11:32	12:32	13:7	14:18
1	1:33	2:3	3:19	4:21	5:3	6:18	7:10	8:33	9:3	10:19	11:13	12:32	13:18	14:32
1	1:163	2:6	3:16	4:18	5:4	6:25	7:11	8:163	9:6	10:16	11:32	12:4	13:25	14:0
1	1:33	2:3	3:19	4:21	5:3	6:18	7:10	8:33	9:3	10:19	11:13	12:32	13:18	14:32
1	1:155	2:6	3:19	4:25	5:25	6:32	7:24	8:155	9:6	10:19	11:0	12:25	13:32	14:29
1	1:163	2:6	3:16	4:18	5:4	6:25	7:11	8:163	9:6	10:16	11:32	12:4	13:25	14:0
1	1:100	2:4	3:18	4:20	5:21	6:25	7:23	8:100	9:4	10:18	11:20	12:21	13:6	14:0
1	1:100	2:4	3:18	4:20	5:21	6:6	7:0	8:100	9:4	10:18	11:20	12:21	13:13	14:18
1	1:100	2:4	3:18	4:20	5:21	6:25	7:0	8:100	9:4	10:18	11:18	12:21	13:7	14:18
14	1:196	2:5	3:19	4:0	5:23	6:18	7:18	8:196	9:4	10:19	11:0	12:23	13:4	14:18
14	1:196	2:6	3:19	4:25	5:25	6:18	7:18	8:196	9:4	10:19	11:0	12:25	13:4	14:18
1	1:46	2:5	3:19	4:20	5:23	6:32	7:25	8:46	9:5	10:19	11:20	12:25	13:13	14:18
16	1:31	2:5	3:19	4:32	5:23	6:18	7:32	8:31	9:5	10:19	11:20	12:25	13:3	14:19
31	1:134	2:2	3:19	4:23	5:19	6:7	7:18	8:58	9:0	10:19	11:25	12:32	13:18	14:32
1	1:55	2:4	3:18	4:25	5:25	6:18	7:18	8:55	9:4	10:18	11:23	12:25	13:18	14:18
1	1:100	2:4	3:18	4:6	5:21	6:18	7:18	8:100	9:4	10:18	11:25	12:21	13:0	14:32
1	1:140	2:5	3:18	4:32	5:19	6:32	7:18	8:140	9:5	10:18	11:32	12:19	13:0	14:32
0	1:166	2:3	3:19	4:25	5:23	6:18	7:3	8:166	9:3	10:19	11:25	12:23	13:18	14:23
39	1:166	2:3	3:19	4:25	5:23	6:18	7:3	8:166	9:3	10:19	11:25	12:23	13:18	14:23
1	1:40	2:5	3:18	4:18	5:25	6:32	7:23	8:40	9:5	10:18	11:25	12:25	13:18	14:18
14	1:196	2:6	3:19	4:-1	5:0	6:0	7:32	8:196	9:5	10:19	11:32	12:32	13:18	14:25
14	1:196	2:5	3:19	4:32	5:25	6:18	7:0	8:196	9:5	10:19	11:15	12:25	13:0	14:23
15	1:21	2:5	3:19	4:20	5:25	6:0	7:0	8:22	9:5	10:19	11:18	12:25	13:18	14:19
1	1:119	2:6	3:19	4:13	5:18	6:32	7:32	8:119	9:6	10:19	11:25	12:25	13:32	14:25
0	1:166	2:3	3:19	4:32	5:1	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
39	1:166	2:3	3:19	4:32	5:1	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
2	1:64	2:5	3:19	4:32	5:32	6:18	7:20	8:64	9:5	10:19	11:25	12:32	13:18	14:20
1	1:215	2:6	3:19	4:13	5:18	6:32	7:18	8:215	9:6	10:19	11:18	12:25	13:32	14:25
1	1:73	2:3	3:19	4:18	5:0	6:32	7:18	8:73	9:3	10:19	11:20	12:32	13:18	14:-1
15	1:132	2:5	3:19	4:25	5:25	6:32	7:18	8:132	9:5	10:19	11:0	12:30	13:0	14:9
1	1:202	2:6	3:19	4:-1	5:-1	6:7	7:18	8:202	9:6	10:19	11:0	12:25	13:0	14:32
1	1:202	2:6	3:19	4:18	5:25	6:18	7:7	8:202	9:6	10:19	11:0	12:25	13:18	14:0
1	1:57	2:3	3:19	4:6	5:20	6:18	7:18	8:57	9:3	10:19	11:25	12:23	13:18	14:15
1	1:157	2:6	3:19	4:-1	5:-1	6:30	7:4	8:157	9:6	10:19	11:18	12:7	13:0	14:32
1	1:157	2:6	3:19	4:18	5:7	6:0	7:32	8:157	9:6	10:19	11:18	12:7	13:32	14:18
22	1:221	2:6	3:19	4:18	5:25	6:30	7:19	8:220	9:6	10:19	11:19	12:30	13:18	14:32
0	1:166	2:3	3:19	4:-1	5:-1	6:30	7:18	8:166	9:3	10:19	11:18	12:25	13:10	14:18
39	1:166	2:3	3:19	4:-1	5:-1	6:30	7:18	8:166	9:3	10:19	11:18	12:25	13:10	14:18
0	1:166	2:3	3:19	4:18	5:25	6:10	7:18	8:166	9:3	10:19	11:10	12:32	13:10	14:18
39	1:166	2:3	3:19	4:18	5:25	6:10	7:18	8:166	9:3	10:19	11:10	12:32	13:10	14:18
14	1:196	2:6	3:19	4:-1	5:-1	6:23	7:18	8:196	9:6	10:19	11:0	12:32	13:18	14:32
14	1:196	2:5	3:19	4:-1	5:-1	6:18	7:18	8:196	9:5	10:19	11:18	12:3	13:0	14:4
14	1:196	2:6	3:19	4:32	5:25	6:23	7:18	8:196	9:5	10:19	11:25	12:20	13:0	14:32
14	1:196	2:5	3:19	4:25	5:20	6:0	7:32	8:196	9:5	10:19	11:25	12:32	13:13	14:18
14	1:196	2:6	3:19	4:-1	5:-1	6:18	7:0	8:196	9:4	10:19	11:0	12:32	13:32	14:18
14	1:196	2:6	3:19	4:18	5:18	6:20	7:23	8:196	9:6	10:19	11:20	12:15	13:23	14:19
0	1:166	2:3	3:19	4:18	5:32	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
39	1:166	2:3	3:19	4:18	5:32	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
0	1:166	2:3	3:19	4:-1	5:-1	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
39	1:166	2:3	3:19	4:-1	5:-1	6:18	7:25	8:166	9:3	10:19	11:18	12:25	13:18	14:25
1	1:100	2:4	3:18	4:20	5:21	6:32	7:18	8:100	9:4	10:18	11:25	12:21	13:18	14:18
1	1:100	2:4	3:18	4:20	5:21	6:18	7:7	8:100	9:4	10:18	11:32	12:21	13:32	14:18
1	1:100	2:4	3:18	4:7	5:21	6:18	7:25	8:100	9:4	10:18	11:20	12:21	13:7	14:18
26	1:97	2:5	3:19	4:18	5:3	6:23	7:20	8:90	9:5	10:19	11:32	12:6	13:23	14:19
16	1:31	2:5	3:19	4:15	5:3	6:7	7:18	8:31	9:5	10:19	11:32	12:23	13:32	14:13
14	1:196	2:6	3:19	4:0	5:32	6:25	7:23	8:196	9:6	10:19	11:23	12:0	13:32	14:1
1	1:155	2:6	3:19	4:25	5:0	6:0	7:0	8:155	9:6	10:19	11:0	12:30	13:27	14:-1
14	1:196	2:5	3:19	4:32	5:1	6:23	7:25	8:196	9:6	10:19	11:24	12:23	13:18	14:15
14	1:196	2:6	3:19	4:0	5:23	6:18	7:18	8:196	9:5	10:19	11:0	12:32	13:3	14:19
14	1:196	2:5	3:19	4:0	5:23	6:18	7:32	8:196	9:5	10:19	11:18	12:25	13:7	14:18
14	1:196	2:6	3:19	4:-1	5:0	6:18	7:0	8:196	9:5	10:19	11:24	12:30	13:18	14:17
14	1:196	2:5	3:19	4:29	5:25	6:0	7:0	8:196	9:5	10:19	11:15	12:7	13:23	14:0
14	1:196	2:5	3:19	4:20	5:25	6:32	7:32	8:196	9:5	10:19	11:20	12:25	13:32	14:4
14	1:196	2:5	3:19	4:25	5:23	6:32	7:1	8:196	9:6	10:19	11:0	12:32	13:23	14:13
14	1:196	2:5	3:19	4:32	5:6	6:32	7:32	8:196	9:6	10:19	11:15	12:25	13:0	14:30
14	1:196	2:6	3:19	4:10	5:16	6:18	7:23	8:196	9:6	10:19	11:25	12:32	13:23	14:13
14	1:196	2:6	3:19	4:1	5:2	6:23	7:4	8:196	9:5	10:19	11:32	12:25	13:32	14:25
14	1:196	2:5	3:19	4:32	5:25	6:32	7:25	8:196	9:5	10:19	11:18	12:25	13:7	14:18
14	1:196	2:5	3:19	4:18	5:25	6:7	7:18	8:196	9:5	10:19	11:25	12:5	13:23	14:13
14	1:196	2:5	3:19	4:15	5:7	6:25	7:23	8:196	9:6	10:19	11:18	12:25	13:18	14:18
1	1:79	2:6	3:19	4:24	5:32	6:25	7:25	8:79	9:6	10:19	11:0	12:32	13:32	14:32
1	1:41	2:3	3:19	4:18	5:32	6:18	7:25	8:41	9:3	10:19	11:19	12:23	13:29	14:32
14	1:196	2:6	3:19	4:3	5:32	6:32	7:25	8:196	9:5	10:19	11:19	12:32	13:18	14:7
14	1:196	2:6	3:19	4:19	5:32	6:32	7:4	8:196	9:5	10:19	11:0	12:32	13:0	14:4
14	1:196	2:5	3:19	4:18	5:32	6:7	7:13	8:196	9:5	10:19	11:3	12:23	13:20	14:18
14	1:196	2:5	3:19	4:15	5:25	6:0	7:32	8:196	9:5	10:19	11:25	12:5	13:18	14:18
14	1:196	2:5	3:19	4:25	5:5	6:18	7:18	8:196	9:5	10:19	11:18	12:23	13:32	14:13
14	1:196	2:5	3:19	4:-1	5:-1	6:18	7:0	8:196	9:6	10:19	11:25	12:25	13:0	14:2
14	1:196	2:6	3:19	4:25	5:25	6:0	7:2	8:196	9:5	10:19	11:15	12:25	13:7	14:18
14	1:196	2:5	3:19	4:19	5:23	6:0	7:32	8:196	9:6	10:19	11:32	12:25	13:32	14:6
14	1:196	2:6	3:19	4:19	5:25	6:32	7:25	8:196	9:5	10:19	11:25	12:0	13:20	14:0
14	1:196	2:5	3:19	4:19	5:25	6:23	7:18	8:196	9:6	10:19	11:0	12:32	13:23	14:32
1	1:28	2:4	3:10	4:25	5:23	6:10	7:18	8:28	9:4	10:10	11:30	12:23	13:20	14:15
1	1:119	2:6	3:19	4:-1	5:-1	6:32	7:25	8:119	9:6	10:18	11:18	12:25	13:0	14:32
26	1:97	2:5	3:19	4:18	5:25	6:0	7:19	8:90	9:5	10:19	11:18	12:0	13:23	14:19
15	1:86	2:5	3:18	4:-1	5:0	6:0	7:23	8:86	9:5	10:18	11:15	12:25	13:0	14:32
1	1:155	2:6	3:19	4:18	5:18	6:32	7:24	8:155	9:6	10:19	11:0	12:32	13:32	14:19
1	1:155	2:6	3:19	4:18	5:25	6:32	7:19	8:155	9:6	10:19	11:0	12:32	13:32	14:0
1	1:230	2:4	3:18	4:23	5:20	6:3	7:20	8:230	9:4	10:18	11:3	12:20	13:0	14:32
1	1:100	2:4	3:18	4:20	5:21	6:18	7:25	8:100	9:4	10:18	11:24	12:21	13:18	14:32
1	1:18	2:4	3:16	4:32	5:4	6:25	7:13	8:18	9:-1	10:16	11:30	12:4	13:25	14:32
1	1:73	2:3	3:19	4:0	5:32	6:18	7:32	8:73	9:3	10:19	11:20	12:32	13:18	14:-1
31	1:134	2:2	3:19	4:23	5:19	6:7	7:18	8:58	9:0	10:19	11:25	12:32	13:18	14:32
1	1:20	2:5	3:19	4:32	5:13	6:18	7:7	8:20	9:5	10:19	11:25	12:5	13:18	14:20
0	1:166	2:3	3:19	4:20	5:23	6:18	7:7	8:166	9:3	10:19	11:32	12:32	13:25	14:32
39	1:166	2:3	3:19	4:20	5:23	6:18	7:7	8:166	9:3	10:19	11:32	12:32	13:25	14:32
0	1:166	2:3	3:19	4:32	5:32	6:25	7:32	8:166	9:3	10:19	11:9	12:32	13:18	14:7
39	1:166	2:3	3:19	4:32	5:32	6:25	7:32	8:166	9:3	10:19	11:9	12:32	13:18	14:7
32	1:86	2:5	3:18	4:20	5:25	6:32	7:18	8:143	9:5	10:19	11:16	12:25	13:4	14:16
1	1:162	2:3	3:19	4:18	5:25	6:25	7:18	8:162	9:3	10:19	11:32	12:19	13:18	14:25
1	1:118	2:2	3:19	4:32	5:1	6:18	7:18	8:118	9:2	10:19	11:32	12:1	13:18	14:18
1	1:230	2:4	3:18	4:23	5:20	6:25	7:19	8:230	9:4	10:18	11:23	12:20	13:32	14:4
1	1:14	2:4	3:16	4:32	5:4	6:3	7:4	8:14	9:4	10:19	11:3	12:4	13:4	14:16
10	1:204	2:5	3:21	4:-1	5:-1	6:23	7:20	8:53	9:4	10:19	11:32	12:25	13:25	14:25
1	1:213	2:4	3:0	4:-1	5:20	6:25	7:19	8:213	9:4	10:32	11:23	12:20	13:25	14:19
15	1:86	2:5	3:18	4:18	5:23	6:32	7:6	8:86	9:5	10:18	11:18	12:32	13:32	14:24
32	1:86	2:5	3:18	4:-1	5:-1	6:0	7:32	8:143	9:5	10:19	11:15	12:25	13:3	14:19
15	1:86	2:5	3:18	4:0	5:30	6:23	7:32	8:86	9:5	10:18	11:0	12:25	13:19	14:19
16	1:31	2:5	3:19	4:-1	5:-1	6:25	7:32	8:31	9:5	10:19	11:0	12:32	13:18	14:18
1	1:51	2:5	3:19	4:32	5:6	6:25	7:0	8:51	9:5	10:19	11:0	12:32	13:7	14:10
1	1:51	2:5	3:19	4:32	5:23	6:7	7:18	8:51	9:5	10:19	11:32	12:23	13:6	14:18
1	1:133	2:2	3:19	4:18	5:23	6:18	7:15	8:133	9:2	10:19	11:25	12:0	13:18	14:0
1	1:51	2:5	3:19	4:0	5:30	6:23	7:32	8:51	9:5	10:19	11:25	12:0	13:0	14:32
1	1:13	2:5	3:19	4:19	5:25	6:25	7:25	8:141	9:5	10:19	11:32	12:32	13:19	14:7
16	1:31	2:5	3:19	4:-1	5:-1	6:18	7:32	8:31	9:5	10:19	11:25	12:20	13:18	14:18
16	1:31	2:5	3:19	4:-1	5:23	6:18	7:7	8:31	9:5	10:19	11:18	12:25	13:7	14:13
22	1:116	2:5	3:18	4:18	5:7	6:0	7:32	8:116	9:5	10:18	11:32	12:25	13:0	14:32
15	1:142	2:5	3:19	4:15	5:25	6:32	7:1	8:142	9:5	10:19	11:18	12:25	13:18	14:18
1	1:89	2:4	3:19	4:25	5:2	6:18	7:32	8:89	9:4	10:19	11:25	12:32	13:18	14:25
14	1:196	2:6	3:19	4:18	5:3	6:18	7:7	8:196	9:5	10:19	11:18	12:25	13:0	14:32
14	1:196	2:6	3:19	4:30	5:23	6:32	7:18	8:196	9:5	10:19	11:25	12:23	13:18	14:13
15	1:86	2:5	3:18	4:15	5:25	6:32	7:32	8:86	9:5	10:18	11:18	12:25	13:0	14:32
15	1:86	2:5	3:18	4:0	5:25	6:0	7:10	8:86	9:5	10:18	11:18	12:25	13:32	14:1
0	1:166	2:3	3:19	4:6	5:13	6:18	7:25	8:166	9:3	10:19	11:0	12:23	13:18	14:31
39	1:166	2:3	3:19	4:6	5:13	6:18	7:25	8:166	9:3	10:19	11:0	12:23	13:18	14:31
1	1:240	2:1	3:19	4:15	5:25	6:18	7:18	8:240	9:1	10:19	11:32	12:1	13:20	14:7
0	1:166	2:3	3:19	4:-1	5:-1	6:18	7:4	8:166	9:4	10:19	11:4	12:16	13:4	14:18
39	1:166	2:3	3:19	4:-1	5:-1	6:18	7:4	8:166	9:4	10:19	11:4	12:16	13:4	14:18
18	1:50	2:5	3:19	4:-1	5:-1	6:18	7:19	8:232	9:6	10:19	11:19	12:18	13:30	14:18
22	1:174	2:4	3:18	4:4	5:16	6:10	7:13	8:173	9:5	10:18	11:4	12:16	13:18	14:0
15	1:142	2:5	3:19	4:18	5:25	6:23	7:25	8:142	9:4	10:19	11:18	12:25	13:18	14:18
1	1:83	2:3	3:18	4:16	5:25	6:4	7:16	8:83	9:3	10:18	11:32	12:32	13:4	14:18
1	1:100	2:4	3:18	4:20	5:21	6:32	7:18	8:100	9:4	10:18	11:18	12:21	13:18	14:18
1	1:26	2:5	3:19	4:20	5:25	6:18	7:18	8:26	9:5	10:19	11:19	12:3	13:0	14:29
1	1:27	2:5	3:19	4:32	5:1	6:7	7:18	8:27	9:5	10:19	11:32	12:25	13:23	14:18
14	1:196	2:5	3:19	4:0	5:30	6:32	7:1	8:196	9:5	10:19	11:24	12:3	13:7	14:18
14	1:196	2:5	3:19	4:24	5:3	6:7	7:18	8:196	9:6	10:19	11:0	12:23	13:32	14:30
14	1:196	2:6	3:19	4:0	5:30	6:0	7:32	8:196	9:5	10:19	11:18	12:30	13:3	14:19
14	1:196	2:5	3:19	4:18	5:3	6:0	7:18	8:196	9:6	10:19	11:30	12:32	13:25	14:18
14	1:196	2:6	3:19	4:30	5:32	6:25	7:18	8:196	9:5	10:19	11:0	12:32	13:25	14:24
14	1:196	2:5	3:19	4:0	5:32	6:25	7:24	8:196	9:6	10:19	11:24	12:23	13:7	14:18
14	1:196	2:6	3:19	4:24	5:23	6:7	7:18	8:196	9:6	10:19	11:32	12:3	13:13	14:7
14	1:196	2:6	3:19	4:32	5:3	6:13	7:7	8:196	9:6	10:19	11:18	12:23	13:7	14:18
14	1:196	2:6	3:19	4:18	5:23	6:7	7:18	8:196	9:5	10:19	11:25	12:3	13:18	14:18
1	1:100	2:4	3:18	4:20	5:21	6:7	7:10	8:100	9:4	10:18	11:32	12:21	13:4	14:18
1	1:100	2:4	3:18	4:32	5:21	6:4	7:18	8:100	9:4	10:18	11:0	12:21	13:7	14:13
1	1:73	2:3	3:19	4:25	5:0	6:18	7:7	8:73	9:3	10:19	11:0	12:23	13:32	14:25
1	1:73	2:3	3:19	4:0	5:23	6:32	7:25	8:73	9:3	10:19	11:32	12:20	13:5	14:10
1	1:73	2:3	3:19	4:25	5:0	6:32	7:0	8:73	9:3	10:19	11:18	12:25	13:18	14:32
1	1:73	2:3	3:19	4:25	5:23	6:15	7:25	8:73	9:3	10:19	11:23	12:32	13:18	14:0
1	1:73	2:3	3:19	4:23	5:32	6:18	7:0	8:73	9:3	10:19	11:0	12:32	13:3	14:19
14	1:196	2:6	3:19	4:25	5:10	6:18	7:30	8:196	9:5	10:19	11:10	12:13	13:18	14:32
1	1:100	2:4	3:18	4:20	5:21	6:23	7:4	8:100	9:4	10:18	11:25	12:21	13:18	14:0
1	1:26	2:5	3:19	4:19	5:25	6:10	7:18	8:26	9:4	10:19	11:18	12:32	13:25	14:4
1	1:26	2:4	3:19	4:18	5:32	6:25	7:4	8:26	9:4	10:19	11:18	12:32	13:15	14:25
1	1:26	2:4	3:19	4:18	5:32	6:15	7:25	8:26	9:4	10:19	11:25	12:23	13:18	14:0
1	1:26	2:4	3:19	4:25	5:23	6:18	7:0	8:26	9:4	10:19	11:18	12:32	13:25	14:24
1	1:26	2:4	3:19	4:18	5:32	6:25	7:24	8:26	9:5	10:19	11:24	12:23	13:20	14:3
1	1:100	2:4	3:18	4:20	5:21	6:0	7:32	8:100	9:4	10:18	11:20	12:21	13:10	14:18
1	1:100	2:4	3:18	4:20	5:21	6:10	7:18	8:100	9:4	10:18	11:0	12:21	13:32	14:6
1	1:100	2:4	3:18	4:0	5:21	6:32	7:6	8:100	9:4	10:18	11:25	12:21	13:0	14:32
1	1:231	2:6	3:19	4:32	5:25	6:18	7:25	8:231	9:6	10:19	11:18	12:25	13:18	14:25
1	1:231	2:6	3:19	4:6	5:25	6:18	7:25	8:231	9:6	10:19	11:18	12:25	13:18	14:25
1	1:231	2:6	3:19	4:32	5:25	6:18	7:25	8:231	9:6	10:19	11:0	12:25	13:18	14:25
1	1:231	2:6	3:19	4:0	5:25	6:18	7:25	8:231	9:6	10:19	11:30	12:25	13:18	14:25
1	1:231	2:6	3:19	4:30	5:25	6:18	7:25	8:231	9:6	10:19	11:1	12:25	13:18	14:25
1	1:231	2:6	3:19	4:29	5:25	6:18	7:25	8:231	9:6	10:19	11:19	12:25	13:18	14:25
14	1:196	2:5	3:19	4:24	5:23	6:10	7:4	8:196	9:6	10:19	11:25	12:0	13:32	14:0
